id_cliente;edad_cliente;inclinacion_tejado;antiguedad_propiedad;consumo_anual_mmpp;horas_trabajo;modalidad_trabajo;orientacion;ratio_ingresos_deudas;contrata
1;28;MuyInclinado;2;24;30;R;E;0,19;0
2;20;PocoInclinado;0;19;20;R;E;0,28;1
3;30;Plano;13;42;30;P;E;0,52;1
4;41;MuyInclinado;9;68;30;P;S;0,7;0
5;18;MuyInclinado;0;17;20;P;E;0,82;0
6;30;Suelo;2;21;40;P;O;0,6;0
7;32;Plano;5;35;20;R;E;0,22;1
8;35;MuyInclinado;15;30;40;P;O;0,92;1
9;56;MuyInclinado;37;160;20;P;S;0,19;1
10;22;Plano;1;19;10;R;E;0,56;1
11;27;MuyInclinado;4;32;20;R;E;0,28;0
12;30;PocoInclinado;4;39;20;P;O;0,41;1
13;47;MuyInclinado;23;46;20;P;E;0,37;1
14;25;PocoInclinado;0;42;30;P;E;0,48;0
15;27;PocoInclinado;0;28;40;R;E;0,22;1
16;75;Plano;32;78;30;R;E;0,1;1
17;25;PocoInclinado;2;26;30;P;O;0,58;0
18;43;PocoInclinado;13;71;20;R;O;0,1;1
19;25;MuyInclinado;1;20;10;R;E;0,15;1
20;44;PocoInclinado;6;39;10;R;O;0,32;0
21;43;PocoInclinado;0;31;20;R;E;0,1;1
22;44;MuyInclinado;7;59;30;R;O;0,23;1
23;18;MuyInclinado;0;15;20;R;E;0,57;0
24;27;Plano;7;43;30;P;O;0,33;1
25;36;MuyInclinado;10;77;10;P;O;0,26;0
26;47;MuyInclinado;6;75;10;P;N;0,35;1
27;19;MuyInclinado;0;21;30;R;E;0,12;0
28;24;PocoInclinado;0;64;20;P;S;0,33;0
29;42;PocoInclinado;6;49;40;P;N;0,45;1
30;22;PocoInclinado;0;19;30;R;E;0,46;0
31;75;PocoInclinado;50;460;30;P;S;0,24;0
32;41;MuyInclinado;21;189;30;R;S;0,1;1
33;25;Plano;2;30;40;P;E;0,97;0
34;37;PocoInclinado;4;53;20;P;O;0,45;1
35;37;Plano;11;34;20;P;N;0,54;1
36;23;PocoInclinado;1;63;40;P;S;0,43;0
37;29;PocoInclinado;3;74;30;R;E;0,08;1
38;21;MuyInclinado;1;43;30;P;S;0,47;0
39;21;PocoInclinado;0;35;20;P;N;0,88;0
40;34;MuyInclinado;6;27;30;R;E;0,3;1
41;23;PocoInclinado;1;22;10;P;O;0,79;0
42;19;MuyInclinado;0;19;30;R;E;0,34;0
43;20;MuyInclinado;0;23;40;P;S;1,26;0
44;39;MuyInclinado;17;90;30;R;S;0,14;1
45;19;MuyInclinado;0;30;20;P;E;1,05;0
46;22;PocoInclinado;0;24;40;R;E;0,27;0
47;36;Suelo;7;124;20;R;E;0,03;1
48;33;MuyInclinado;3;33;20;R;E;0,21;1
49;23;MuyInclinado;2;24;20;R;E;0,08;1
50;52;Plano;30;125;30;P;S;0,28;1
51;23;PocoInclinado;0;118;20;R;E;0,12;1
52;58;MuyInclinado;9;51;40;R;E;0,13;1
53;33;PocoInclinado;3;46;40;R;E;0,12;1
54;19;MuyInclinado;0;37;10;R;E;0,11;1
55;61;PocoInclinado;20;38;40;R;E;0,12;1
56;30;Plano;13;38;10;R;E;0,17;1
57;38;PocoInclinado;13;204;30;P;S;0,29;0
58;20;PocoInclinado;0;22;40;R;E;0,28;0
59;56;Plano;3;38;10;P;S;0,68;0
60;36;PocoInclinado;7;118;10;P;S;0,21;0
61;37;Suelo;1;90;30;R;E;0,04;1
62;61;PocoInclinado;23;81;20;R;O;0,2;1
63;26;MuyInclinado;1;26;30;P;O;0,54;0
64;31;Plano;5;27;10;R;E;0,2;1
65;34;Suelo;5;186;30;P;S;0,17;0
66;23;PocoInclinado;0;30;10;R;E;0,3;1
67;19;MuyInclinado;0;36;10;R;E;0,25;1
68;18;MuyInclinado;0;14;30;R;E;0,35;1
69;25;PocoInclinado;0;52;40;R;E;0,14;0
70;37;MuyInclinado;17;123;30;P;S;0,19;1
71;63;PocoInclinado;8;92;30;R;E;0,12;1
72;30;PocoInclinado;1;73;10;P;S;0,71;0
73;23;PocoInclinado;0;16;30;R;E;0,57;1
74;21;MuyInclinado;2;23;40;R;E;0,19;1
75;23;PocoInclinado;0;23;10;P;E;0,96;0
76;24;Plano;6;36;30;P;O;0,5;1
77;54;Plano;13;105;20;P;O;0,27;1
78;19;MuyInclinado;0;28;20;R;E;0,42;0
79;30;MuyInclinado;5;39;30;P;E;0,49;1
80;20;PocoInclinado;0;19;10;R;E;0,28;1
81;68;Plano;51;274;10;R;S;0,1;1
82;28;Plano;7;52;30;P;S;0,65;0
83;36;MuyInclinado;1;31;10;P;E;0,89;1
84;23;Plano;1;19;20;R;E;0,45;1
85;27;MuyInclinado;9;31;10;R;E;0,27;1
86;21;MuyInclinado;1;20;20;P;E;1,22;1
87;24;PocoInclinado;0;18;30;R;E;0,19;1
88;51;MuyInclinado;3;19;40;R;E;0,31;1
89;53;Plano;9;41;20;P;N;0,46;1
90;38;Plano;11;33;20;P;O;0,42;1
91;26;PocoInclinado;5;25;20;P;O;0,54;1
92;30;Suelo;3;40;40;P;N;0,59;0
93;33;PocoInclinado;4;24;20;P;S;1,43;0
94;33;PocoInclinado;1;40;30;P;E;0,47;1
95;33;PocoInclinado;4;24;30;P;S;1,43;0
96;32;PocoInclinado;10;70;10;R;E;0,08;0
97;21;MuyInclinado;1;23;10;R;E;0,4;0
98;66;MuyInclinado;43;152;30;R;S;0,15;1
99;39;MuyInclinado;1;27;20;R;E;0,07;1
100;37;PocoInclinado;3;57;40;P;E;0,3;0
101;38;PocoInclinado;10;63;30;P;N;0,32;1
102;39;MuyInclinado;0;36;20;R;E;0,28;0
103;20;MuyInclinado;0;19;40;R;E;0,37;0
104;41;Plano;9;29;20;R;E;0,25;1
105;37;MuyInclinado;2;38;30;R;E;0,08;1
106;37;PocoInclinado;3;41;40;P;N;0,5;1
107;20;MuyInclinado;0;17;30;R;E;0,5;0
108;41;MuyInclinado;14;76;40;P;S;0,42;0
109;41;MuyInclinado;22;54;20;R;E;0,12;1
110;28;PocoInclinado;7;30;30;R;E;0,37;1
111;26;Plano;5;47;20;P;S;0,68;0
112;35;MuyInclinado;15;66;10;R;O;0,08;1
113;18;MuyInclinado;0;24;20;R;E;0,27;1
114;66;PocoInclinado;6;61;40;R;O;0,2;0
115;39;Suelo;3;42;30;P;S;0,51;1
116;28;Suelo;1;77;20;R;E;0;1
117;40;PocoInclinado;17;103;40;P;S;0,26;0
118;45;Plano;12;44;20;R;O;0,32;1
119;49;PocoInclinado;1;51;10;P;O;0,33;1
120;26;PocoInclinado;0;36;20;P;S;0,68;0
121;70;MuyInclinado;33;150;40;P;S;0,22;1
122;38;Suelo;9;66;40;R;E;0,03;1
123;22;PocoInclinado;0;14;40;R;E;0,2;1
124;44;PocoInclinado;4;15;10;P;E;1,27;1
125;25;MuyInclinado;2;26;10;P;E;0,5;1
126;30;Suelo;2;99;30;R;E;0,03;1
127;28;PocoInclinado;4;58;10;P;N;0,34;0
128;32;MuyInclinado;0;35;40;P;O;0,7;0
129;22;Plano;1;19;20;R;E;0,56;1
130;34;Plano;11;54;30;P;S;0,3;1
131;18;MuyInclinado;0;27;20;R;E;0,29;1
132;24;PocoInclinado;0;21;20;R;E;0,38;0
133;33;PocoInclinado;5;38;40;P;O;0,66;1
134;21;PocoInclinado;0;41;20;P;O;0,8;0
135;22;PocoInclinado;0;27;30;R;E;0,28;0
136;33;MuyInclinado;9;34;20;P;S;0,5;0
137;37;PocoInclinado;8;62;30;P;S;0,62;0
138;30;PocoInclinado;3;38;40;P;E;0,43;1
139;20;PocoInclinado;0;45;20;R;O;0,25;0
140;30;PocoInclinado;6;20;10;R;E;0,58;0
141;19;MuyInclinado;0;21;20;R;E;0,47;1
142;19;MuyInclinado;0;34;20;P;N;0,76;0
143;62;Plano;4;27;30;P;O;0,62;1
144;22;PocoInclinado;0;29;30;P;O;0,88;0
145;21;PocoInclinado;0;22;30;R;E;0,08;1
146;22;PocoInclinado;1;17;30;P;N;1,75;0
147;20;PocoInclinado;0;18;40;P;E;1,14;1
148;38;PocoInclinado;6;37;20;P;N;0,71;0
149;49;PocoInclinado;24;90;30;P;S;0,29;1
150;30;MuyInclinado;0;26;30;R;E;0,17;0
151;45;Plano;3;38;40;P;N;0,8;0
152;56;PocoInclinado;14;206;10;P;S;0,41;0
153;36;PocoInclinado;8;58;30;P;O;0,47;1
154;39;MuyInclinado;9;60;40;R;N;0,25;1
155;54;PocoInclinado;4;69;30;P;O;0,29;1
156;34;PocoInclinado;11;132;10;R;O;0,08;1
157;30;MuyInclinado;0;25;20;R;E;0,37;1
158;22;Plano;4;21;30;R;E;0,52;1
159;22;PocoInclinado;0;59;30;R;E;0,08;1
160;45;MuyInclinado;24;86;20;R;O;0,21;1
161;39;PocoInclinado;16;47;10;P;S;0,52;1
162;42;PocoInclinado;19;24;20;P;N;0,78;1
163;52;PocoInclinado;17;125;30;R;E;0,01;1
164;19;Plano;3;22;20;P;E;0,6;1
165;62;MuyInclinado;24;199;40;R;S;0,07;1
166;32;PocoInclinado;7;71;20;P;S;0,47;0
167;42;MuyInclinado;19;63;40;P;S;0,53;1
168;35;PocoInclinado;3;54;40;P;O;0,31;1
169;23;Plano;6;29;20;P;E;0,57;1
170;34;Plano;6;33;40;R;E;0,26;1
171;45;PocoInclinado;23;55;30;P;O;0,37;1
172;39;PocoInclinado;4;47;40;R;O;0,3;0
173;59;PocoInclinado;11;55;10;P;O;0,28;1
174;43;PocoInclinado;9;57;20;R;O;0,12;1
175;20;PocoInclinado;0;20;30;P;O;0,68;0
176;34;MuyInclinado;6;45;40;R;O;0,29;1
177;38;PocoInclinado;12;86;30;R;E;0,05;1
178;26;Plano;5;24;40;R;E;0,41;1
179;40;PocoInclinado;12;87;30;R;E;0,12;1
180;32;PocoInclinado;3;79;20;R;O;0,14;0
181;37;PocoInclinado;4;53;40;P;O;0,45;1
182;26;Plano;5;47;30;P;S;0,68;0
183;30;PocoInclinado;3;23;30;R;E;0,35;0
184;62;MuyInclinado;24;199;20;R;S;0,07;1
185;40;PocoInclinado;12;87;30;R;E;0,12;1
186;29;PocoInclinado;3;74;30;R;E;0,08;1
187;23;PocoInclinado;0;34;30;P;N;0,67;0
188;26;MuyInclinado;1;48;20;P;E;0,35;0
189;30;Plano;12;35;20;R;O;0,22;1
190;29;Suelo;3;55;20;P;S;0,76;0
191;33;PocoInclinado;8;102;20;P;S;0,57;0
192;48;PocoInclinado;24;66;30;R;E;0,11;1
193;41;MuyInclinado;3;62;30;R;N;0,18;0
194;59;PocoInclinado;20;144;20;R;N;0,06;1
195;24;MuyInclinado;5;60;20;P;E;0,3;1
196;21;MuyInclinado;1;23;40;R;E;0,51;1
197;19;MuyInclinado;0;34;20;P;N;0,76;0
198;21;MuyInclinado;0;20;30;R;E;0,13;1
199;19;MuyInclinado;0;25;40;R;O;0,46;0
200;27;PocoInclinado;3;36;20;P;O;0,61;0
201;18;MuyInclinado;0;20;10;P;O;1,14;0
202;26;MuyInclinado;2;36;10;R;E;0,36;1
203;51;PocoInclinado;4;43;30;R;E;0,11;1
204;34;PocoInclinado;9;58;30;P;S;0,77;0
205;34;Plano;0;26;40;R;E;0,09;1
206;44;PocoInclinado;22;131;30;R;E;0,12;1
207;19;MuyInclinado;0;28;20;R;E;0,13;0
208;26;Plano;6;46;30;R;E;0,31;1
209;32;Suelo;0;22;20;P;E;0,82;1
210;42;PocoInclinado;14;55;10;R;O;0,26;1
211;20;Plano;2;16;40;R;E;0,34;1
212;29;PocoInclinado;5;73;20;P;N;0,59;0
213;36;Suelo;9;108;10;R;S;0,13;1
214;20;Plano;2;20;40;P;O;1,13;0
215;52;Plano;5;36;20;R;O;0,37;1
216;63;Plano;22;61;20;P;O;0,36;1
217;65;MuyInclinado;0;57;20;R;O;0,17;1
218;25;PocoInclinado;3;58;40;P;S;0,56;1
219;30;PocoInclinado;4;28;10;R;E;0,38;1
220;19;MuyInclinado;0;22;40;P;O;0,93;0
221;18;Plano;1;18;40;R;E;0,52;0
222;20;PocoInclinado;0;33;20;R;E;0,38;0
223;25;PocoInclinado;2;19;30;R;E;0,21;1
224;34;PocoInclinado;7;30;30;P;E;0,62;1
225;34;PocoInclinado;0;23;30;R;E;0,36;0
226;31;PocoInclinado;3;22;30;R;E;0,26;1
227;45;MuyInclinado;1;43;30;R;E;0,09;1
228;25;PocoInclinado;0;35;10;R;E;0,02;1
229;67;Plano;40;88;40;R;O;0,13;1
230;28;Suelo;0;50;30;R;E;0,26;1
231;61;PocoInclinado;35;327;30;R;S;0,06;1
232;75;Plano;22;56;30;R;O;0,22;1
233;38;PocoInclinado;12;37;20;P;S;0,49;0
234;44;PocoInclinado;6;39;30;R;O;0,32;0
235;23;MuyInclinado;2;34;10;R;E;0,13;1
236;29;MuyInclinado;0;21;20;P;E;0,71;0
237;24;PocoInclinado;0;35;10;R;E;0,05;0
238;27;PocoInclinado;3;41;10;R;E;0,16;0
239;20;PocoInclinado;0;22;10;R;E;0,28;0
240;27;PocoInclinado;3;38;10;R;E;0,35;0
241;45;MuyInclinado;1;43;20;R;E;0,09;1
242;51;PocoInclinado;10;144;20;R;E;0,08;1
243;61;Plano;26;78;20;R;E;0,11;1
244;54;Plano;13;105;30;P;O;0,27;1
245;31;MuyInclinado;2;45;30;R;E;0,1;1
246;40;PocoInclinado;4;87;40;R;E;0,03;1
247;56;PocoInclinado;14;206;30;P;S;0,41;0
248;65;Plano;38;143;30;P;O;0,19;1
249;37;PocoInclinado;4;53;20;P;O;0,45;1
250;44;Plano;9;37;20;P;N;0,68;1
251;30;PocoInclinado;4;39;40;P;N;0,38;0
252;29;Plano;11;39;20;R;E;0,11;1
253;56;PocoInclinado;22;57;30;R;E;0,06;1
254;30;PocoInclinado;5;27;30;R;E;0,29;1
255;43;PocoInclinado;16;102;20;R;E;0,05;1
256;66;Plano;40;149;40;P;S;0,22;1
257;34;Plano;10;41;20;P;O;0,5;1
258;30;PocoInclinado;4;46;30;R;O;0,12;1
259;22;MuyInclinado;3;45;20;P;O;0,36;1
260;30;PocoInclinado;3;38;10;P;E;0,43;1
261;40;PocoInclinado;11;238;30;R;S;0,11;1
262;30;PocoInclinado;6;20;40;R;E;0,58;0
263;26;MuyInclinado;5;42;20;P;N;0,36;0
264;44;Plano;14;68;30;P;O;0,37;1
265;18;MuyInclinado;0;29;30;P;N;1,15;0
266;40;PocoInclinado;17;120;10;P;S;0,19;1
267;50;PocoInclinado;9;24;20;P;E;0,81;1
268;25;PocoInclinado;0;30;30;R;E;0,21;1
269;36;MuyInclinado;7;41;30;P;S;0,65;1
